name,city,tg_subs,ig_followers,posts_per_week,avg_views,er_percent,best_format,strengths,weaknesses
GoTravel Uzbekistan,Ташкент,18400,24100,9,4100,3.1,Reels с ценами,"Ежедневный постинг, сильные Reels","Однообразные офферы, слабые тексты"
SunTour,Ташкент,12800,15600,6,2900,2.4,Карусели-гайды,Хорошие гайды по визам,Редко отвечают в комментариях
Anor Travel,Ташкент,9600,21500,7,3600,4.2,Отзывы клиентов,"Живые отзывы, UGC",Нет Telegram-стратегии
FlyDream,Самарканд,7300,9800,4,1500,1.8,Фото направлений,Красивый визуал,"Низкая частота, нет CTA"
Orient Voyage,Ташкент,6900,13400,5,2200,2.9,Горящие туры,Быстрые публикации горящих туров,Нет единого стиля обложек
Silk Road Tours,Бухара,5400,11200,3,1900,3.4,Истории-закулисье,Аутентичный контент,Нерегулярный постинг
TezTrip,Ташкент,15200,8700,10,2600,1.6,Посты с ценами,Агрессивные цены,"Спамный тон, отписки"
Marhabo Travel,Ташкент,4800,7600,4,1100,2.1,Карусели,Хорошая упаковка акций,Слабая аналитика хэштегов
Almaz Tour,Фергана,3900,6200,3,800,2.7,Отзывы,Лояльная аудитория,Мало видеоконтента
Travel Hub Asia,Алматы,26700,31900,12,6800,3.8,Reels-тренды,"Тренды, коллаборации с блогерами","Общий контент, мало локальной специфики"
HotTours KZ,Алматы,21300,18500,8,5200,2.5,Горящие туры,Сильный Telegram с кнопками брони,Instagram ведётся по остаточному принципу
Caravan Club,Ташкент,8100,12900,5,2400,3.0,Гайды по направлениям,Экспертные разборы отелей,Обложки без единого стиля
